video_id,episode_id,segment_id,start_frame,end_frame,phase_id,phase_label,phase_text_zh,phase_text_en,object_id,active_hand,boundary_confidence,annotation_valid,quality_status,annotator_id,reviewer_id,annotation_version,notes
pick_place_pilot_v1_E001,pick_place_pilot_v1_E001_E0001,pick_place_pilot_v1_E001_E0001_S001,0,45,0,idle,操作者保持初始姿势静止。,The operator remains still in the initial pose.,BOX01,right,high,true,full_valid,A01,,v1.0,
pick_place_pilot_v1_E001,pick_place_pilot_v1_E001_E0001,pick_place_pilot_v1_E001_E0001_S002,46,97,1,reach,右手从初始位置向纸盒移动。,The right hand reaches from the initial position toward the box.,BOX01,right,high,true,full_valid,A01,,v1.0,
pick_place_pilot_v1_E001,pick_place_pilot_v1_E001_E0001,pick_place_pilot_v1_E001_E0001_S003,98,106,2,align,右手在纸盒附近调整至合适的抓取位置。,The right hand aligns with the box to prepare for grasping.,BOX01,right,medium,true,full_valid,A01,,v1.0,align与grasp边界由肉眼估计，可能存在约±2帧误差。
pick_place_pilot_v1_E001,pick_place_pilot_v1_E001_E0001,pick_place_pilot_v1_E001_E0001_S004,107,120,3,grasp,右手接触并抓住纸盒。,The right hand makes contact with and grasps the box.,BOX01,right,medium,true,full_valid,A01,,v1.0,grasp起止边界较难逐帧辨认，可能存在约±2帧误差。
pick_place_pilot_v1_E001,pick_place_pilot_v1_E001_E0001,pick_place_pilot_v1_E001_E0001_S005,121,139,4,lift,右手将纸盒从桌面提起。,The right hand lifts the box from the table.,BOX01,right,high,true,full_valid,A01,,v1.0,
pick_place_pilot_v1_E001,pick_place_pilot_v1_E001_E0001,pick_place_pilot_v1_E001_E0001_S006,140,175,5,transport,右手将纸盒移动至目标标记区域。,The right hand transports the box toward the target marker.,BOX01,right,high,true,full_valid,A01,,v1.0,
pick_place_pilot_v1_E001,pick_place_pilot_v1_E001_E0001,pick_place_pilot_v1_E001_E0001_S007,176,193,6,place,右手将纸盒下降并放置到目标标记处。,The right hand lowers and places the box at the target marker.,BOX01,right,medium,true,full_valid,A01,,v1.0,place与release边界依据纸盒接触桌面及手部开始松开的位置确定。
pick_place_pilot_v1_E001,pick_place_pilot_v1_E001_E0001,pick_place_pilot_v1_E001_E0001_S008,194,206,7,release,右手松开纸盒并解除控制。,The right hand releases the box and relinquishes control.,BOX01,right,medium,true,full_valid,A01,,v1.0,release边界较难逐帧辨认，可能存在约±2帧误差。
pick_place_pilot_v1_E001,pick_place_pilot_v1_E001_E0001,pick_place_pilot_v1_E001_E0001_S009,207,244,8,retract,右手离开纸盒并返回初始位置。,The right hand retracts from the box and returns to the initial position.,BOX01,right,medium,true,full_valid,A01,,v1.0,retract持续至第244帧；第245帧起进入结束idle。边界可能存在约±1帧误差。
pick_place_pilot_v1_E001,pick_place_pilot_v1_E001_E0001,pick_place_pilot_v1_E001_E0001_S010,245,344,0,idle,操作者完成动作后保持静止。,The operator remains still after completing the action.,BOX01,right,medium,true,full_valid,A01,,v1.0,结束idle从第245帧开始。边界可能存在约±1帧误差。
